iter	RMSE
0	56.77448133
1	55.81183073
2	54.8479411
3	53.52713115
4	52.86614784
5	52.40186758
6	51.99388519
7	51.46100244
8	51.11863162
9	50.85431643
10	50.5532087
11	50.51610724
12	50.25427509
13	49.97219084
14	49.83542447
15	49.7063818
16	49.69910199
17	49.59288278
18	49.59119441
19	49.58674659
20	49.47962758
21	49.47265731
22	49.44134139
23	49.38844447
24	49.38238507
25	49.38048524
26	49.37525321
27	49.32700189
28	49.26839575
29	49.26411381
30	49.25849807
31	49.13565473
32	49.13422055
33	49.03690916
34	48.87626074
35	48.86962727
36	48.86660232
37	48.78681023
38	48.77497657
39	48.71525054
40	48.71390742
41	48.58373779
42	48.57121901
43	48.56436458
44	48.53868625
45	48.51938767
46	48.51714204
47	48.42935874
48	48.42752756
49	48.42621985
50	48.41420055
51	48.37765214
52	48.31823225
53	47.91335013
54	47.86494635
55	47.84348405
56	47.79726096
57	47.79664853
58	47.76595471
59	47.76546439
60	47.74895369
61	47.667684
62	47.66694304
63	47.65629795
64	47.63136392
65	47.59550952
66	47.57966684
67	47.12849625
68	46.71458631
69	46.70724193
70	46.61473271
71	46.56419817
72	46.4366433
73	46.06890026
74	45.99435986
75	45.65231974
76	45.54762335
77	45.36062299
78	45.21553181
79	45.12550704
80	44.82538807
81	44.7545604
82	44.49230927
83	44.29103245
84	44.15341679
85	43.9599245
86	43.78056867
87	43.56638281
88	43.53958046
89	43.38274453
90	43.2986076
91	43.25186527
92	43.04264302
93	42.98021937
94	42.84381249
95	42.64683323
96	42.54450601
97	42.38378076
98	42.30036127
99	42.11019975
100	42.08506246
101	42.00578186
102	41.88524334
103	41.78463442
104	41.66204408
105	41.55143624
106	41.3855557
107	41.27774943
108	41.20590517
109	41.19160756
110	41.09288118
111	41.02159043
112	40.98830956
113	40.89411436
114	40.88467343
115	40.79579652
116	40.73792909
117	40.71997299
118	40.64705262
119	40.63337256
120	40.62173825
121	40.54773561
122	40.52416556
123	40.44236476
124	40.35380129
125	40.30011914
126	40.19353993
127	40.13954279
128	40.09066543
129	39.98760934
130	39.94042141
131	39.86869996
132	39.85444336
133	39.75974024
134	39.72039673
135	39.68900918
136	39.67678786
137	39.60099524
138	39.53421863
139	39.53012051
140	39.52625544
141	39.52258301
142	39.51909199
143	39.51598791
144	39.51303589
145	39.45559109
146	39.45277837
147	39.45010145
148	39.44755284
149	39.44512554
150	39.43432382
151	39.43176707
152	39.4293295
153	39.36166028
154	39.35637018
155	39.35422841
156	39.35218875
157	39.35023839
158	39.34073115
159	39.33886044
160	39.33709064
161	39.26811337
162	39.26637342
163	39.20594719
164	39.2041462
165	39.20242786
166	39.20078793
167	39.15806808
168	39.06217102
169	39.05792001
170	39.05649243
171	39.02181821
172	39.02043783
173	39.01315433
174	39.01183766
175	38.96057353
176	38.91923726
177	38.91590435
178	38.9145771
179	38.91082138
180	38.84364308
181	38.81355656
182	38.74946278
183	38.74395345
184	38.67799799
185	38.67316624
186	38.66821988
187	38.63741897
188	38.59809581
189	38.5875497
190	38.52664518
191	38.46259497
192	38.4252564
193	38.42227062
194	38.41511292
195	38.36436784
196	38.32902361
197	38.2628899
198	38.22517526
199	38.21869946
200	38.21765638
201	38.1927704
202	38.16845714
203	38.12431828
204	38.12274194
205	38.12123363
206	38.12033038
207	38.11434992
208	38.11350016
209	38.07128005
210	38.06936569
211	38.02447143
212	38.0222641
213	37.98145372
214	37.98005759
215	37.97921731
216	37.93264328
217	37.93151954
218	37.93052185
219	37.87767608
220	37.84773106
221	37.7881822
222	37.72287744
223	37.69418742
224	37.64355177
225	37.6247395
226	37.59396031
227	37.59281886
228	37.5491315
229	37.54303164
230	37.54237128
231	37.54124478
232	37.50298403
233	37.50174124
234	37.50055225
235	37.47214332
236	37.40293188
237	37.38556654
238	37.38444555
239	37.34586346
240	37.34478865
241	37.34376087
242	37.34277802
243	37.34187353
244	37.30861987
245	37.26054439
246	37.25960769
247	37.24490546
248	37.24377886
249	37.20220775
250	37.15880567
251	37.11906902
252	37.07684183
253	37.07598166
254	37.0147538
255	36.98290722
256	36.98216202
257	36.95403407
258	36.95281483
259	36.89994448
260	36.86830637
261	36.85405419
262	36.85289578
263	36.84119567
264	36.81059802
265	36.7904488
266	36.7650969
267	36.74261616
268	36.69489444
269	36.65523755
270	36.61302793
271	36.58286993
272	36.55262829
273	36.50659933
274	36.46824555
275	36.42135415
276	36.40219294
277	36.37143652
278	36.37017398
279	36.33905317
280	36.32452603
281	36.29029774
282	36.24389179
283	36.23442485
284	36.19835166
285	36.19732278
286	36.19637015
287	36.19546571
288	36.19068223
289	36.18982082
290	36.16612914
291	36.15340516
292	36.14260185
293	36.14175703
294	36.11315174
295	36.11221623
296	36.10100237
297	36.06542811
298	36.06469915
299	36.06412663
300	36.06343531
301	36.06192812
302	36.06138163
303	36.04824026
304	36.03141155
305	36.03072775
306	35.98474127
307	35.95002448
308	35.94036913
309	35.91703245
310	35.8985186
311	35.8682992
312	35.84048539
313	35.80894593
314	35.7753723
315	35.76832868
316	35.76227065
317	35.73214703
318	35.72418526
319	35.68957534
320	35.65471072
321	35.63123426
322	35.58824809
323	35.58758475
324	35.56387814
325	35.53273561
326	35.51197399
327	35.50679593
328	35.50617302
329	35.5055813
330	35.50501872
331	35.453898
332	35.41769814
333	35.41327868
334	35.3847374
335	35.34579579
336	35.3237075
337	35.32018753
338	35.31530319
339	35.31432606
340	35.31373077
341	35.30624305
342	35.27454588
343	35.27174003
344	35.26983459
345	35.23537863
346	35.21740774
347	35.20012026
348	35.16750182
349	35.14633453
350	35.12568316
351	35.10298609
352	35.07277013
353	35.06934503
354	35.03433184
355	34.99085873
356	34.96855691
357	34.9675707
358	34.94908972
359	34.91546599
360	34.89238853
361	34.86888543
362	34.84510333
363	34.82649433
364	34.80840816
365	34.78523378
366	34.74649345
367	34.71786429
368	34.69857291
369	34.67563789
370	34.66626629
371	34.65622116
372	34.62795394
373	34.60012278
374	34.58267657
375	34.54207192
376	34.52656432
377	34.52336135
378	34.50016326
379	34.49419566
380	34.48072314
381	34.46458889
382	34.43738425
383	34.43539436
384	34.43424413
385	34.43321258
386	34.43224863
387	34.43143421
388	34.43066584
389	34.39527927
390	34.36857851
391	34.3483945
392	34.32770518
393	34.30220284
394	34.28444146
395	34.25966616
396	34.24191564
397	34.20967458
398	34.17282237
399	34.17242298
400	34.17207415
401	34.17174153
402	34.17142496
403	34.1711228
404	34.17082627
405	34.14907092
406	34.14794108
407	34.14687181
408	34.14658398
409	34.1304504
410	34.10958251
411	34.07393142
412	34.05675539
413	34.05644721
414	34.05615569
415	34.05588932
416	34.05564278
417	34.03034536
418	34.01323634
419	34.00978724
420	33.98652966
421	33.95290907
422	33.95091294
423	33.93544771
424	33.92285394
425	33.91998024
426	33.90226821
427	33.90051813
428	33.88091138
429	33.86244168
430	33.84262492
431	33.82904452
432	33.82691628
433	33.79823329
434	33.78595803
435	33.76676575
436	33.74057699
437	33.72962663
438	33.7084098
439	33.70683242
440	33.70546323
441	33.70365225
442	33.69229901
443	33.69036784
444	33.68838352
445	33.66037668
446	33.64269215
447	33.6255887
448	33.62170547
449	33.62047754
450	33.61864638
451	33.59058904
452	33.55807557
453	33.53935825
454	33.5290546
455	33.51565212
456	33.49752851
457	33.476616
458	33.47121703
459	33.46179892
460	33.45522767
461	33.45290028
462	33.43459908
463	33.43318074
464	33.41513165
465	33.39137857
466	33.37321074
467	33.37162366
468	33.35025931
469	33.33384833
470	33.3162242
471	33.30011033
472	33.27451449
473	33.26931832
474	33.26740615
475	33.25263249
476	33.23521889
477	33.22116141
478	33.19774019
479	33.16316166
480	33.14782045
481	33.14604086
482	33.14468634
483	33.14393672
484	33.13051386
485	33.1138573
486	33.08569762
487	33.07515669
